x,y
100,0
99.9882,0.1313
99.9152,0.149
99.7937,0.1785
99.6236,0.2196
99.4053,0.2723
99.1388,0.3363
98.8245,0.4115
98.4625,0.4977
98.0533,0.5946
97.5972,0.7019
97.0945,0.8192
96.5458,0.9464
95.9516,1.0829
95.3124,1.2284
94.6287,1.3824
93.9013,1.5446
93.1307,1.7145
92.3177,1.8916
91.463,2.0754
90.5674,2.2655
89.6318,2.4612
88.657,2.6621
87.644,2.8677
86.5936,3.0775
85.5069,3.2908
84.3849,3.5071
83.2286,3.7259
82.0392,3.9467
80.8178,4.1688
79.5655,4.3918
78.2836,4.6151
76.9732,4.8381
75.6357,5.0603
74.2723,5.2812
72.8843,5.5002
71.4732,5.7167
70.0402,5.9303
68.5867,6.1405
67.1143,6.3466
65.6243,6.5483
64.1181,6.7449
62.5973,6.936
61.0635,7.1212
59.518,7.2998
57.9624,7.4715
56.3983,7.6358
54.8273,7.7922
53.2509,7.9403
51.6706,8.0797
50.0882,8.21
48.5052,8.3307
46.9231,8.4414
45.3437,8.5419
43.7685,8.6318
42.199,8.7108
40.637,8.7786
39.073,8.834
37.5118,8.873
35.9627,8.8952
34.4274,8.9005
32.9076,8.8889
31.4049,8.8605
29.9209,8.8154
28.4573,8.7537
27.0158,8.6756
25.5978,8.5815
24.2049,8.4716
22.8387,8.3464
21.5007,8.2061
20.1922,8.0513
18.9148,7.8825
17.6697,7.7003
16.4584,7.5052
15.2822,7.2979
14.1422,7.0791
13.0397,6.8493
11.9758,6.6095
10.9517,6.3602
9.9683,6.1023
9.0267,5.8366
8.1278,5.5638
7.2725,5.2847
6.4616,5.0002
5.6958,4.711
4.976,4.4179
4.3027,4.1216
3.6765,3.823
3.0981,3.5227
2.5678,3.2215
2.0861,2.9199
1.6534,2.6186
1.2701,2.3182
0.9363,2.0193
0.6523,1.7222
0.4183,1.4275
0.2344,1.1355
0.1006,0.8465
0.017,0.5608
-0.0165,0.2786
0,0
0.0659,-0.2712
0.1804,-0.5312
0.3432,-0.7801
0.5542,-1.0178
0.8129,-1.2442
1.119,-1.4595
1.4721,-1.6635
1.8716,-1.8562
2.3172,-2.0378
2.8082,-2.2082
3.3442,-2.3674
3.9243,-2.5156
4.548,-2.6527
5.2146,-2.7789
5.9234,-2.8943
6.6735,-2.999
7.4642,-3.0931
8.2947,-3.1768
9.1641,-3.2503
10.0716,-3.3138
11.0162,-3.3675
11.997,-3.4116
13.0131,-3.4465
14.0634,-3.4725
15.1471,-3.4899
16.2631,-3.4991
17.4104,-3.5003
18.5879,-3.4941
19.7945,-3.4809
21.0293,-3.4611
22.291,-3.4352
23.5786,-3.4037
24.8909,-3.367
26.2268,-3.3258
27.5852,-3.2804
28.9647,-3.2316
30.3643,-3.1798
31.7827,-3.1255
33.2186,-3.0694
34.6709,-3.0119
36.1382,-2.9537
37.6192,-2.8952
39.1127,-2.837
40.6249,-2.7792
42.1575,-2.7187
43.6982,-2.6551
45.2455,-2.5887
46.7978,-2.5199
48.3537,-2.4491
49.9118,-2.3766
51.4704,-2.3028
53.0282,-2.2281
54.5835,-2.1526
56.135,-2.0768
57.681,-2.0009
59.2202,-1.9251
60.7509,-1.8497
62.2716,-1.7749
63.781,-1.7009
65.2774,-1.6279
66.7595,-1.556
68.2257,-1.4853
69.6746,-1.4161
71.1047,-1.3484
72.5147,-1.2823
73.9031,-1.2178
75.2684,-1.1551
76.6095,-1.0941
77.9248,-1.035
79.213,-0.9777
80.4729,-0.9222
81.7032,-0.8687
82.9026,-0.817
84.0698,-0.7672
85.2038,-0.7193
86.3033,-0.6732
87.3671,-0.629
88.3943,-0.5867
89.3837,-0.5462
90.3343,-0.5076
91.2451,-0.4708
92.1151,-0.4359
92.9435,-0.4028
93.7294,-0.3715
94.4719,-0.342
95.1703,-0.3144
95.8239,-0.2886
96.4318,-0.2647
96.9936,-0.2426
97.5085,-0.2224
97.9761,-0.2041
98.3958,-0.1876
98.7672,-0.1731
99.0899,-0.1605
99.3635,-0.1498
99.5878,-0.141
99.7625,-0.1342
99.8874,-0.1293
99.9625,-0.1264
99.9875,-0.1254
100,0
