lift, drag, liftvd, dragvd 
6173.835663212,546.815522736,9646.61822376875,854.399254275
10350.792650464,742.341569648,16173.11351635,1159.908702575
14117.001793776,871.941195916,22057.815302775,1362.40811861875
17021.873105972,921.511926356,26596.6767280813,1439.86238493125
19066.811532888,922.068603008,29791.8930201375,1440.7321922
20399.442420952,901.736651004,31874.1287827375,1408.96351719375
21195.569558548,890.258508608,33118.0774352313,1391.0289197
21609.896038108,894.685413412,33765.4625595438,1397.94595845625
21914.10657422,933.997388408,34240.7915222188,1459.3709193875
25724.452223512,1578.734985072,40194.4565992375,2466.773414175
22393.882323008,1058.984550988,34990.4411297,1654.66336091875
21909.06997594,999.287607164,34232.9218374063,1561.38688619375
21642.872502636,982.030630952,33816.9882853688,1534.4228608625
21293.040989472,973.150312932,33270.37654605,1520.54736395625
21293.040989472,973.150312932,33270.37654605,1520.54736395625
21642.845994224,982.030630952,33816.946865975,1534.4228608625
21909.043467528,999.287607164,34232.8804180125,1561.38688619375
22393.882323008,1058.984550988,34990.4411297,1654.66336091875
25724.452223512,1578.734985072,40194.4565992375,2466.773414175
21914.080065808,933.997388408,34240.750102825,1459.3709193875
21609.869529696,894.685413412,33765.42114015,1397.94595845625
21195.569558548,890.258508608,33118.0774352313,1391.0289197
20399.41591254,901.736651004,31874.0873633438,1408.96351719375
19066.785024476,922.068603008,29791.8516007438,1440.7321922
17021.873105972,921.511926356,26596.6767280813,1439.86238493125
14117.001793776,871.941195916,22057.815302775,1362.40811861875
10350.792650464,742.341569648,16173.11351635,1159.908702575
6173.835663212,546.815522736,9646.61822376875,854.399254275
