lift, drag, liftvd, dragvd 
6173.835663,546.8155227,24116.54556,854.399254275
10350.79265,742.3415696,40432.78379,1159.908702575
14117.00179,871.9411959,55144.53826,1362.40811861875
17021.87311,921.5119264,66491.69182,1439.86238493125
19066.81153,922.068603,74479.73255,1440.7321922
20399.44242,901.736651,79685.32196,1408.96351719375
21195.56956,890.2585086,82795.19359,1391.0289197
21609.89604,894.6854134,84413.6564,1397.94595845625
21914.10657,933.9973884,85601.97881,1459.3709193875
25724.45222,1578.734985,100486.1415,2466.773414175
22393.88232,1058.984551,87476.10282,1654.66336091875
21909.06998,999.2876072,85582.30459,1561.38688619375
21642.8725,982.030631,84542.47071,1534.4228608625
21293.04099,973.1503129,83175.94137,1520.54736395625
21293.04099,973.1503129,83175.94137,1520.54736395625
21642.84599,982.030631,84542.36716,1534.4228608625
21909.04347,999.2876072,85582.20105,1561.38688619375
22393.88232,1058.984551,87476.10282,1654.66336091875
25724.45222,1578.734985,100486.1415,2466.773414175
21914.08007,933.9973884,85601.87526,1459.3709193875
21609.86953,894.6854134,84413.55285,1397.94595845625
21195.56956,890.2585086,82795.19359,1391.0289197
20399.41591,901.736651,79685.21841,1408.96351719375
19066.78502,922.068603,74479.629,1440.7321922
17021.87311,921.5119264,66491.69182,1439.86238493125
14117.00179,871.9411959,55144.53826,1362.40811861875
10350.79265,742.3415696,40432.78379,1159.908702575
6173.835663,546.8155227,24116.54556,854.399254275
