lift,drag,liftvd,dragvd
483.8603571,41.59262622,2499.640058,88.52732511
813.6269723,55.2126112,4189.775451,120.1775982
1121.651098,60.75714511,5714.933207,141.1625122
1391.202627,62.35152953,6894.505368,149.1842067
1632.383325,64.56276052,7720.381518,149.3287434
1854.674466,69.15229368,8257.813186,145.9761387
2061.248329,76.67232269,8583.999337,144.1316489
2250.952117,86.67423056,8749.097038,144.8490142
2436.481801,97.30550531,8871.013901,151.2294745
2943.407791,136.0506786,10411.9741,255.5370362
2596.473653,113.5027066,9068.797178,171.5236521
2599.364646,119.2979821,8860.555126,161.7557514
2644.326854,128.1573358,8758.799654,158.9880196
2683.088542,138.7750291,8619.368906,157.5997246
2683.088542,138.7750291,8619.368906,157.5997246
2644.326854,128.1573358,8758.688507,158.9880196
2599.364646,119.2979821,8860.444008,161.7557514
2596.473653,113.5027066,9068.797178,171.5236521
2943.407791,136.0506786,10411.9741,255.5370362
2436.481801,97.30550531,8870.902782,151.2294745
2250.952117,86.67423056,8748.985735,144.8490142
2061.248329,76.67232269,8583.999337,144.1316489
1854.674466,69.15229368,8257.702128,145.9761387
1632.383325,64.56276052,7720.270052,149.3287434
1391.202627,62.35152953,6894.505368,149.1842067
1121.651098,60.75714511,5714.933207,141.1625122
813.6269723,55.2126112,4189.775451,120.1775982
483.8603571,41.59262622,2499.640058,88.52732511
